date,title,text_l,link
2024-09-02,獨家直擊東京新地標，「麻布台之丘」奇蹟,6135,https://www.gvm.com.tw/article/115299
2024-09-02,日本大膽向天空借地，摩天樓容積率高達1600％,4923,https://www.gvm.com.tw/article/115302
2024-12-31,AI機器人應用場景大公開！亞馬遜物流中心、早稻田實驗室獨家直擊,4558,https://www.gvm.com.tw/article/118078
2025-03-19,黃仁勳GTC再掀機器人熱潮！人形機器人夯什麼？有哪些概念股？,4277,https://www.gvm.com.tw/article/119977
2024-12-18,亞光股價漲兩成！黃仁勳、馬斯克推人形機器人，概念股夯什麼？,3738,https://www.gvm.com.tw/article/117337
2024-04-30,AI軍備競賽來了！連「母湯」也懂，台版GPT爭國際話語權,3704,https://www.gvm.com.tw/article/112300
2022-10-27,從替宏碁「救火」到孵育「小虎隊」，陳俊聖：不播種，就不會有機會！,3673,https://www.gvm.com.tw/article/95743
2024-11-20,美超微暫解美股下市危機！股價大漲翻身了？專家分析後市,3488,https://www.gvm.com.tw/article/116287
2023-02-23,施崇棠推動企業再造不停歇，走「難行門」領華碩挺過逆風,3484,https://www.gvm.com.tw/article/99934
2024-01-31,連加恩不當醫生，但要帶智慧醫療走向國際,3455,https://www.gvm.com.tw/article/109707
2023-09-25,小川恭範開拓新戰線，80年EPSON續攀高峰,3161,https://www.gvm.com.tw/article/106443
2022-08-29,太空新銳台廠較勁，鐳洋、創未來、張量科技，齊攻國際供應鏈,3154,https://www.gvm.com.tw/article/93627
2025-03-17,獨家專訪〉《黃仁勳傳》作者談台積電加碼美國：台灣矽盾防線正在削弱中,3036,https://www.gvm.com.tw/article/119930
2023-12-06,低軌衛星大爆發！跟緊SpaceX腳步，台廠競逐太空商機,3013,https://www.gvm.com.tw/article/107919
2024-01-31,全球AI終端裝置元年！從汽車、PC到機器人無所不在,2965,https://www.gvm.com.tw/article/109713
2024-06-28,【專訪】美超微大爆發！梁見後苦熬30年，終於看到DLC直接液冷技術翻轉,2954,https://www.gvm.com.tw/article/113326
2024-03-13,有了它，24小時都能吃美食！機器做拉麵、搖珍奶，Yo-Kai征服老外的胃,2909,https://www.gvm.com.tw/article/110512
2023-12-28,AI PC風光登場，PC產業將改朝換代？,2862,https://www.gvm.com.tw/article/108717
2024-09-05,精品．美食．美術館，麻布台之丘一次滿足,2831,https://www.gvm.com.tw/article/115324
2024-09-30,颱風靠輝達AI協助預報！氣象署打磨三年的新武器是什麼？,2827,https://www.gvm.com.tw/article/115810
2024-12-31,人形機器人是長照終極解方？迎戰高齡化社會，借鏡日本早稻田實驗室經驗,2818,https://www.gvm.com.tw/article/118086
2023-09-25,簡宏諠任性創業，帶領鴻辰通訊打入15國,2813,https://www.gvm.com.tw/article/106465
2022-10-26,開通「語言」隔閡 鴻海機器人協作無礙,2801,https://www.gvm.com.tw/article/95695
2024-06-28,王永慶外孫重新詮釋家訓「勤勞樸實」，養出攸泰科技變小金雞,2779,https://www.gvm.com.tw/article/113927
2024-09-05,踏進沒地圖的teamLab Borderless，在光影間走入無界之境,2772,https://www.gvm.com.tw/article/115329
2024-05-23,微軟AI PC來了！它能做什麼？概念股有哪些？,2702,https://www.gvm.com.tw/article/112933
2023-10-20,11月掛牌上櫃！工業電腦新兵宸曜如何不靠富爸，毛利長年四成？,2693,https://www.gvm.com.tw/article/106986
2025-02-21,昇達科股價跟著馬斯克升空！低軌衛星概念股為何夯？名單有誰？,2677,https://www.gvm.com.tw/article/119399
2022-11-28,獨創機器人單臂拉花、智能無人茶飲，勵德13人團隊如何闖關國際？,2677,https://www.gvm.com.tw/article/96954
2023-07-27,鴻海轉型大計，下一步怎麼走？,2676,https://www.gvm.com.tw/article/104868
