date,title,text_l,link
2024-11-07,面對不確定的時代！許勝雄：國家追求卓越同時，必須兼顧社會均衡,960,https://www.gvm.com.tw/article/117001
2025-02-27,電動車衰、AI散熱來救！台達電看2025，哪裡好哪裡壞？,969,https://www.gvm.com.tw/article/119567
2025-01-16,尾牙談川普、AI PC，宏碁陳俊聖看到挑戰與甜蜜點,1114,https://www.gvm.com.tw/article/118532
2025-01-14,仁寶尾牙談AI伺服器、北美布局，陳瑞聰為何有信心？,1124,https://www.gvm.com.tw/article/118498
2025-03-07,緯穎3億鎂投資德州做什麼？川普關稅對策完整拆解,1150,https://www.gvm.com.tw/article/119728
2024-05-07,談台灣半導體業未來10年，盧超群為何說65歲不准退休？,1177,https://www.gvm.com.tw/article/112526
2024-08-01,台達法說後股價更好？鄭平如何看下半年AI、電動車？,1178,https://www.gvm.com.tw/article/114764
2025-02-27,川普關稅台廠應對：「美國製造」成本可大可小？緯創、光寶解析,1204,https://www.gvm.com.tw/article/119561
2025-04-01,鴻海迎首位女性輪值CEO！楊秋瑾是誰？輪值制度特別在哪？,1213,https://www.gvm.com.tw/article/120333
2025-01-24,鴻海尾牙移師大巨蛋！黃仁勳祝賀外，還有哪些亮點？,1221,https://www.gvm.com.tw/article/118815
2024-11-06,如何迎接AI 2.0？李開復：企業應成為「造風者」,1257,https://www.gvm.com.tw/article/116923
2024-06-04,輝達地位能維持多久？黃仁勳：我們是市場創造者,1260,https://www.gvm.com.tw/article/113285
2022-10-27,翁章梁：當年輕人想回嘉義，不能讓他回不來,1276,https://www.gvm.com.tw/article/95767
2024-01-31,2024十大酷炫科技，顛覆你想像！,1281,https://www.gvm.com.tw/article/109714
2023-02-23,年營收大增七成！半導體冷颼颼，穎崴卻很暖？,1283,https://www.gvm.com.tw/article/100023
2024-02-20,鴻海歡慶50週年！劉揚偉：蘋果高層會來，將有更深入合作,1300,https://www.gvm.com.tw/article/110305
2023-11-14,鴻海被查稅股價挫，未來衝擊大？財務長：小道消息不必追,1311,https://www.gvm.com.tw/article/107588
2024-07-26,美超微與兩家台企，一起打造台灣AI算力中心！能續航AI熱？,1315,https://www.gvm.com.tw/article/114634
2023-05-05,全球筆電冷颼颼，聯想瞄準「新手玩家」能贏？,1316,https://www.gvm.com.tw/article/102383
2025-01-20,前夏普會長戴正吳告鴻海、郭台銘，一文回顧鴻夏戀始末,1322,https://www.gvm.com.tw/article/118635
2024-01-27,英業達AI PC有譜？董座葉力誠首度尾牙秀，揭2024三大成長動能,1325,https://www.gvm.com.tw/article/109696
2024-06-01,仁寶許勝雄退位！新團隊接棒拚AI伺服器前三大,1330,https://www.gvm.com.tw/article/113223
2024-09-27,iPhone 16需求弱，AI還會發酵？童子賢：換機潮會自然出現,1337,https://www.gvm.com.tw/article/115989
2024-10-08,鴻海科技日》GB200量產版亮相！劉揚偉：這產品我們拚首出貨,1350,https://www.gvm.com.tw/article/116190
2024-11-14,川普將送「高關稅」考驗，台廠怎麼吞？鴻海、和碩這麼說,1355,https://www.gvm.com.tw/article/117151
2024-02-04,鴻海尾牙抽百萬、納智捷N7！劉揚偉：看好AI伺服器發展,1363,https://www.gvm.com.tw/article/109940
2023-09-08,2026噴墨全面取代雷射印表機！大廠EPSON如何革自己的命？,1366,https://www.gvm.com.tw/article/106063
2023-09-06,輝達、AMD瘋搶CoWoS！劉德音：AI晶片短缺將到這時點舒緩！,1376,https://www.gvm.com.tw/article/105973
2023-09-22,iPhone 15改用Type-C有燒毀風險？專家指3點事前盤查務必有,1378,https://www.gvm.com.tw/article/106393
2022-08-19,鴻海董座劉揚偉：2022年集團營收破6兆,1381,https://www.gvm.com.tw/article/93255
